207.109.29.70,01/Jul/1995:01:28:39,01/Jul/1995:01:33:39
218.215.30.47,06/Jul/1995:00:33:10,06/Jul/1995:00:38:10
221.280.78.46,06/Jul/1995:01:05:54,06/Jul/1995:01:10:54
207.208.58.83,06/Jul/1995:02:30:46,06/Jul/1995:02:35:46
207.274.64.79,06/Jul/1995:02:36:41,06/Jul/1995:02:41:41
215.118.95.35,06/Jul/1995:03:14:12,06/Jul/1995:03:19:12
220.201.91.30,06/Jul/1995:03:16:52,06/Jul/1995:03:21:52
218.202.26.64,06/Jul/1995:04:05:36,06/Jul/1995:04:10:36
219.284.67.44,06/Jul/1995:04:12:31,06/Jul/1995:04:17:31
214.240.46.54,06/Jul/1995:04:35:18,06/Jul/1995:04:40:18
212.105.56.25,06/Jul/1995:05:07:26,06/Jul/1995:05:12:26
208.168.61.56,06/Jul/1995:05:12:14,06/Jul/1995:05:17:14
217.181.77.56,06/Jul/1995:05:34:48,06/Jul/1995:05:39:48
222.158.52.88,06/Jul/1995:05:39:45,06/Jul/1995:05:44:45
220.248.14.12,06/Jul/1995:05:53:23,06/Jul/1995:05:58:23
220.119.60.59,06/Jul/1995:06:13:25,06/Jul/1995:06:18:25
221.226.67.60,06/Jul/1995:06:35:39,06/Jul/1995:06:40:39
207.191.65.90,06/Jul/1995:07:06:13,06/Jul/1995:07:11:13
209.298.75.96,06/Jul/1995:07:12:33,06/Jul/1995:07:17:33
222.225.32.67,06/Jul/1995:08:01:07,06/Jul/1995:08:06:07
209.229.37.13,06/Jul/1995:08:47:10,06/Jul/1995:08:52:10
220.185.68.29,06/Jul/1995:10:03:46,06/Jul/1995:10:08:46
209.266.79.35,06/Jul/1995:12:32:20,06/Jul/1995:12:37:20
220.124.45.84,06/Jul/1995:16:21:25,06/Jul/1995:16:26:25
211.214.19.34,06/Jul/1995:20:30:04,06/Jul/1995:20:35:04
215.121.22.77,06/Jul/1995:21:28:35,06/Jul/1995:21:33:35
219.200.60.19,07/Jul/1995:00:58:50,07/Jul/1995:01:03:50
220.112.97.23,07/Jul/1995:01:06:07,07/Jul/1995:01:11:07
219.117.79.61,07/Jul/1995:02:06:38,07/Jul/1995:02:11:38
222.186.94.31,07/Jul/1995:02:10:34,07/Jul/1995:02:15:34
219.284.95.62,07/Jul/1995:03:22:16,07/Jul/1995:03:27:16
215.234.70.32,07/Jul/1995:03:36:03,07/Jul/1995:03:41:03
212.243.10.60,07/Jul/1995:03:56:34,07/Jul/1995:04:01:34
221.270.28.63,07/Jul/1995:04:20:33,07/Jul/1995:04:25:33
218.152.82.92,07/Jul/1995:04:36:16,07/Jul/1995:04:41:16
216.170.20.29,07/Jul/1995:04:46:54,07/Jul/1995:04:51:54
209.171.52.10,07/Jul/1995:05:01:08,07/Jul/1995:05:06:08
212.182.94.38,07/Jul/1995:05:06:02,07/Jul/1995:05:11:02
215.238.41.78,07/Jul/1995:05:25:16,07/Jul/1995:05:30:16
217.187.33.45,07/Jul/1995:05:25:48,07/Jul/1995:05:30:48
207.133.42.32,07/Jul/1995:05:46:25,07/Jul/1995:05:51:25
213.284.27.84,07/Jul/1995:06:07:14,07/Jul/1995:06:12:14
215.140.96.70,07/Jul/1995:06:43:33,07/Jul/1995:06:48:33
212.133.56.63,07/Jul/1995:06:46:11,07/Jul/1995:06:51:11
218.188.95.10,07/Jul/1995:06:50:21,07/Jul/1995:06:55:21
217.219.56.19,07/Jul/1995:06:53:21,07/Jul/1995:06:58:21
223.128.98.82,07/Jul/1995:06:59:22,07/Jul/1995:07:04:22
209.149.76.45,07/Jul/1995:07:00:06,07/Jul/1995:07:05:06
213.128.13.45,07/Jul/1995:07:03:13,07/Jul/1995:07:08:13
214.160.17.72,07/Jul/1995:07:11:37,07/Jul/1995:07:16:37
218.175.26.75,07/Jul/1995:07:52:31,07/Jul/1995:07:57:31
219.153.81.81,07/Jul/1995:09:54:18,07/Jul/1995:09:59:18
208.192.31.68,07/Jul/1995:18:17:25,07/Jul/1995:18:22:25
212.233.71.76,07/Jul/1995:18:19:24,07/Jul/1995:18:24:24
208.184.53.86,07/Jul/1995:18:58:38,07/Jul/1995:19:03:38
222.297.51.22,07/Jul/1995:19:20:26,07/Jul/1995:19:25:26
216.116.55.77,07/Jul/1995:19:52:28,07/Jul/1995:19:57:28
215.277.25.31,07/Jul/1995:22:51:18,07/Jul/1995:22:56:18
223.151.81.39,07/Jul/1995:23:03:07,07/Jul/1995:23:08:07
215.277.78.23,07/Jul/1995:23:12:24,07/Jul/1995:23:17:24
218.292.82.69,07/Jul/1995:23:45:39,07/Jul/1995:23:50:39
212.207.55.39,08/Jul/1995:00:01:07,08/Jul/1995:00:06:07
217.166.61.39,08/Jul/1995:01:32:04,08/Jul/1995:01:37:04
216.297.36.92,08/Jul/1995:01:39:27,08/Jul/1995:01:44:27
222.292.93.81,08/Jul/1995:02:21:49,08/Jul/1995:02:26:49
208.159.38.89,08/Jul/1995:02:24:48,08/Jul/1995:02:29:48
219.202.28.96,08/Jul/1995:02:29:19,08/Jul/1995:02:34:19
220.207.19.43,08/Jul/1995:02:32:26,08/Jul/1995:02:37:26
209.150.11.69,08/Jul/1995:02:50:17,08/Jul/1995:02:55:17
219.262.37.18,08/Jul/1995:03:12:35,08/Jul/1995:03:17:35
220.256.53.48,08/Jul/1995:03:21:30,08/Jul/1995:03:26:30
219.259.20.18,08/Jul/1995:03:33:14,08/Jul/1995:03:38:14
219.205.72.53,08/Jul/1995:04:02:31,08/Jul/1995:04:07:31
212.123.60.32,08/Jul/1995:04:07:35,08/Jul/1995:04:12:35
207.276.62.60,08/Jul/1995:04:15:45,08/Jul/1995:04:20:45
213.265.84.38,08/Jul/1995:04:39:42,08/Jul/1995:04:44:42
208.150.72.93,08/Jul/1995:04:56:17,08/Jul/1995:05:01:17
218.187.63.13,08/Jul/1995:05:23:29,08/Jul/1995:05:28:29
219.186.29.67,08/Jul/1995:05:37:26,08/Jul/1995:05:42:26
211.107.30.70,08/Jul/1995:05:48:04,08/Jul/1995:05:53:04
209.106.32.40,08/Jul/1995:05:54:49,08/Jul/1995:05:59:49
220.200.53.83,08/Jul/1995:05:57:17,08/Jul/1995:06:02:17
207.244.20.55,08/Jul/1995:06:22:23,08/Jul/1995:06:27:23
208.101.37.58,08/Jul/1995:06:24:39,08/Jul/1995:06:29:39
213.134.58.80,08/Jul/1995:06:26:21,08/Jul/1995:06:31:21
217.264.18.46,08/Jul/1995:06:31:07,08/Jul/1995:06:36:07
212.230.78.44,08/Jul/1995:06:45:50,08/Jul/1995:06:50:50
212.285.24.86,08/Jul/1995:06:46:13,08/Jul/1995:06:51:13
209.163.18.81,08/Jul/1995:06:47:06,08/Jul/1995:06:52:06
211.142.71.13,08/Jul/1995:06:56:11,08/Jul/1995:07:01:11
211.224.56.23,08/Jul/1995:07:29:40,08/Jul/1995:07:34:40
211.230.31.84,08/Jul/1995:07:45:31,08/Jul/1995:07:50:31
219.136.21.97,08/Jul/1995:07:48:25,08/Jul/1995:07:53:25
217.121.23.87,08/Jul/1995:07:56:16,08/Jul/1995:08:01:16
211.169.84.50,08/Jul/1995:07:58:04,08/Jul/1995:08:03:04
219.121.78.99,08/Jul/1995:08:36:07,08/Jul/1995:08:41:07
210.134.36.56,08/Jul/1995:09:01:38,08/Jul/1995:09:06:38
222.284.10.87,08/Jul/1995:09:07:34,08/Jul/1995:09:12:34
218.223.49.27,08/Jul/1995:09:12:08,08/Jul/1995:09:17:08
221.133.88.84,08/Jul/1995:09:46:22,08/Jul/1995:09:51:22
218.241.66.38,08/Jul/1995:09:46:46,08/Jul/1995:09:51:46
211.282.39.69,08/Jul/1995:10:32:15,08/Jul/1995:10:37:15
213.177.73.41,08/Jul/1995:10:50:40,08/Jul/1995:10:55:40
218.104.12.43,08/Jul/1995:10:59:04,08/Jul/1995:11:04:04
223.107.29.83,08/Jul/1995:11:01:09,08/Jul/1995:11:06:09
220.124.80.18,08/Jul/1995:11:07:41,08/Jul/1995:11:12:41
219.213.98.16,08/Jul/1995:11:49:37,08/Jul/1995:11:54:37
209.167.76.54,08/Jul/1995:12:01:26,08/Jul/1995:12:06:26
207.109.47.91,08/Jul/1995:12:13:13,08/Jul/1995:12:18:13
222.101.71.31,08/Jul/1995:12:56:47,08/Jul/1995:13:01:47
217.229.76.35,08/Jul/1995:13:42:42,08/Jul/1995:13:47:42
219.215.21.75,08/Jul/1995:13:45:39,08/Jul/1995:13:50:39
213.248.22.82,08/Jul/1995:14:19:46,08/Jul/1995:14:24:46
218.118.73.29,08/Jul/1995:14:24:31,08/Jul/1995:14:29:31
207.177.21.58,08/Jul/1995:15:35:21,08/Jul/1995:15:40:21
211.192.42.75,08/Jul/1995:17:13:04,08/Jul/1995:17:18:04
222.116.60.24,08/Jul/1995:17:25:32,08/Jul/1995:17:30:32
223.151.30.77,08/Jul/1995:17:43:46,08/Jul/1995:17:48:46
209.153.98.45,08/Jul/1995:17:53:10,08/Jul/1995:17:58:10
218.209.75.82,08/Jul/1995:18:22:05,08/Jul/1995:18:27:05
217.202.28.81,08/Jul/1995:18:33:13,08/Jul/1995:18:38:13
220.237.96.97,08/Jul/1995:18:43:19,08/Jul/1995:18:48:19
214.128.73.21,08/Jul/1995:18:55:21,08/Jul/1995:19:00:21
211.152.78.50,08/Jul/1995:19:06:45,08/Jul/1995:19:11:45
208.268.35.27,08/Jul/1995:19:13:54,08/Jul/1995:19:18:54
219.128.78.90,08/Jul/1995:19:26:41,08/Jul/1995:19:31:41
207.233.35.19,08/Jul/1995:19:41:52,08/Jul/1995:19:46:52
217.213.66.61,08/Jul/1995:20:14:13,08/Jul/1995:20:19:13
213.257.15.45,08/Jul/1995:20:28:14,08/Jul/1995:20:33:14
218.246.53.30,08/Jul/1995:20:31:10,08/Jul/1995:20:36:10
222.161.49.99,08/Jul/1995:20:59:03,08/Jul/1995:21:04:03
209.143.64.15,08/Jul/1995:21:28:40,08/Jul/1995:21:33:40
214.132.84.82,08/Jul/1995:21:28:55,08/Jul/1995:21:33:55
213.164.97.87,08/Jul/1995:22:27:54,08/Jul/1995:22:32:54
215.187.48.56,08/Jul/1995:22:35:02,08/Jul/1995:22:40:02
223.271.54.29,08/Jul/1995:22:53:46,08/Jul/1995:22:58:46
219.237.24.39,08/Jul/1995:23:48:11,08/Jul/1995:23:53:11
209.282.43.26,08/Jul/1995:23:51:47,08/Jul/1995:23:56:47
208.235.13.86,09/Jul/1995:00:46:30,09/Jul/1995:00:51:30
219.173.69.40,09/Jul/1995:00:58:33,09/Jul/1995:01:03:33
208.100.68.67,09/Jul/1995:01:08:04,09/Jul/1995:01:13:04
222.210.11.80,09/Jul/1995:01:31:18,09/Jul/1995:01:36:18
218.276.59.41,09/Jul/1995:01:34:08,09/Jul/1995:01:39:08
210.298.60.76,09/Jul/1995:02:00:07,09/Jul/1995:02:05:07
219.123.58.76,09/Jul/1995:02:19:26,09/Jul/1995:02:24:26
216.161.81.32,09/Jul/1995:02:27:21,09/Jul/1995:02:32:21
216.227.30.24,09/Jul/1995:02:48:26,09/Jul/1995:02:53:26
222.204.82.48,09/Jul/1995:03:03:06,09/Jul/1995:03:08:06
214.261.67.14,09/Jul/1995:03:09:02,09/Jul/1995:03:14:02
220.175.75.63,09/Jul/1995:03:28:45,09/Jul/1995:03:33:45
208.283.96.81,09/Jul/1995:03:39:54,09/Jul/1995:03:44:54
218.272.69.38,09/Jul/1995:03:46:54,09/Jul/1995:03:51:54
220.117.54.17,09/Jul/1995:04:25:19,09/Jul/1995:04:30:19
214.196.46.64,09/Jul/1995:04:29:32,09/Jul/1995:04:34:32
215.202.87.38,09/Jul/1995:04:31:15,09/Jul/1995:04:36:15
216.107.96.53,09/Jul/1995:05:11:40,09/Jul/1995:05:16:40
213.241.58.56,09/Jul/1995:05:55:51,09/Jul/1995:06:00:51
209.167.62.40,09/Jul/1995:06:04:43,09/Jul/1995:06:09:43
223.258.83.88,09/Jul/1995:06:14:24,09/Jul/1995:06:19:24
208.183.24.32,09/Jul/1995:07:10:10,09/Jul/1995:07:15:10
219.206.41.62,09/Jul/1995:07:37:36,09/Jul/1995:07:42:36
213.157.19.85,09/Jul/1995:07:46:10,09/Jul/1995:07:51:10
218.265.61.21,09/Jul/1995:08:09:22,09/Jul/1995:08:14:22
210.207.86.15,09/Jul/1995:09:00:36,09/Jul/1995:09:05:36
207.276.97.18,09/Jul/1995:09:07:21,09/Jul/1995:09:12:21
214.138.65.71,09/Jul/1995:09:12:35,09/Jul/1995:09:17:35
218.293.29.40,09/Jul/1995:09:13:11,09/Jul/1995:09:18:11
219.190.67.23,09/Jul/1995:09:19:16,09/Jul/1995:09:24:16
220.254.43.47,09/Jul/1995:09:31:10,09/Jul/1995:09:36:10
214.200.23.41,09/Jul/1995:09:58:32,09/Jul/1995:10:03:32
223.220.42.93,09/Jul/1995:10:08:16,09/Jul/1995:10:13:16
217.233.37.41,09/Jul/1995:10:08:29,09/Jul/1995:10:13:29
214.284.73.21,09/Jul/1995:10:12:55,09/Jul/1995:10:17:55
221.165.21.85,09/Jul/1995:10:26:27,09/Jul/1995:10:31:27
214.199.48.36,09/Jul/1995:10:35:31,09/Jul/1995:10:40:31
216.236.49.11,09/Jul/1995:10:51:31,09/Jul/1995:10:56:31
223.129.97.32,09/Jul/1995:11:50:52,09/Jul/1995:11:55:52
215.143.18.18,09/Jul/1995:12:23:25,09/Jul/1995:12:28:25
223.181.55.39,09/Jul/1995:12:40:45,09/Jul/1995:12:45:45
218.292.36.87,09/Jul/1995:12:41:50,09/Jul/1995:12:46:50
208.214.50.48,09/Jul/1995:13:14:04,09/Jul/1995:13:19:04
213.179.44.50,09/Jul/1995:13:15:21,09/Jul/1995:13:20:21
211.242.77.63,09/Jul/1995:13:34:48,09/Jul/1995:13:39:48
218.269.63.51,09/Jul/1995:13:40:45,09/Jul/1995:13:45:45
208.177.54.47,09/Jul/1995:14:01:54,09/Jul/1995:14:06:54
220.120.24.46,09/Jul/1995:14:19:27,09/Jul/1995:14:24:27
223.222.22.40,09/Jul/1995:15:40:38,09/Jul/1995:15:45:38
214.291.97.12,09/Jul/1995:15:44:26,09/Jul/1995:15:49:26
220.199.20.49,09/Jul/1995:17:40:27,09/Jul/1995:17:45:27
223.253.26.99,09/Jul/1995:17:49:30,09/Jul/1995:17:54:30
222.157.95.46,09/Jul/1995:17:55:46,09/Jul/1995:18:00:46
216.288.20.86,09/Jul/1995:17:57:42,09/Jul/1995:18:02:42
214.151.43.14,09/Jul/1995:18:07:15,09/Jul/1995:18:12:15
212.139.61.80,09/Jul/1995:18:12:35,09/Jul/1995:18:17:35
216.300.54.71,09/Jul/1995:18:32:31,09/Jul/1995:18:37:31
222.284.93.68,09/Jul/1995:18:50:38,09/Jul/1995:18:55:38
210.201.42.86,09/Jul/1995:18:50:48,09/Jul/1995:18:55:48
216.141.56.80,09/Jul/1995:19:00:42,09/Jul/1995:19:05:42
219.173.78.12,09/Jul/1995:19:19:27,09/Jul/1995:19:24:27
213.175.29.30,09/Jul/1995:19:46:37,09/Jul/1995:19:51:37
210.119.53.12,09/Jul/1995:19:49:35,09/Jul/1995:19:54:35
213.266.86.13,09/Jul/1995:20:57:47,09/Jul/1995:21:02:47
